Date,Activity,Activity type,Unit,Amount executed
2025-08-26,Subbase application,Road,m2,3993.0831735074958
2025-08-09,Walling,Building,m2,3059.5883093324987
2025-08-30,Coat preparation,Road,L,1446.8634828526333
2025-11-02,Walling,Building,m2,4994.930752277256
2025-07-25,Rolling/Tractor,Road,m2,3993.2965297717883
2025-02-03,Removing trees,Building,m2,2262.0451097222995
2025-10-10,Pavement,Road,m2,3796.701784696475
2025-10-16,Iron mining,Railway,m3,4521.78723280228
2025-01-24,Iron mining,Railway,m3,2606.0466542312024
2025-10-05,Pavement,Road,m2,3632.25435637156
2025-08-26,Laying steel rail,Railway,m,2973.319845982007
2025-06-15,Foundation pouring,Building,m3,1559.2967095897525
2025-07-17,Terrain leveling,Building,m3,989.6853071074363
2025-07-06,Terrain leveling,Building,m3,2170.1596474424255
2025-05-08,Subbase application,Road,m2,3099.025986449798
2025-04-01,Foundation pouring,Building,m3,982.7452197037268
2025-08-30,Anchorage,Railway,m2,4553.234331402231
2025-11-22,Subbase application,Road,m2,2417.5508372129334
2025-10-14,Laying steel rail,Railway,m,196.94759971221276
2025-01-01,Removing trees,Building,m2,2118.766076624144
2025-08-03,Coat preparation,Road,L,2953.7406905152875
2025-09-29,Removing trees,Building,m2,3378.6245942015244
2025-07-10,Foundation pouring,Building,m3,307.837225372648
2025-07-26,Coat preparation,Road,L,877.5880992096191
2025-04-22,Ballast,Railway,m3,4396.307966440126
2025-06-08,Rolling/Tractor,Road,m2,714.3761746215744
2025-12-08,Coat preparation,Road,L,4942.012485773023
2025-03-27,Foundation pouring,Building,m3,2775.6775024847834
2025-08-02,Foundation pouring,Building,m3,3047.079055833316
2025-10-21,Coat preparation,Road,L,1726.4175552429429
2025-06-01,Anchorage,Railway,m2,4944.767245561643
2025-08-10,Subbase application,Road,m2,1487.9014888113618
2025-02-18,Coat preparation,Road,L,1772.7613655429952
2025-04-24,Coat preparation,Road,L,4822.573031015639
2025-11-13,Removing trees,Building,m2,616.2897140546442
2025-06-08,Coat preparation,Road,L,229.478526520287
2025-02-18,Pavement,Road,m2,3792.3580149594877
2025-02-25,Iron mining,Railway,m3,552.1134395798322
2025-02-08,Coat preparation,Road,L,3158.565702484784
2025-02-21,Rolling/Tractor,Road,m2,2647.8580478049153
2025-03-23,Laying steel rail,Railway,m,1167.5872356001444
2025-10-19,Walling,Building,m2,912.7468764659868
2025-11-01,Laying steel rail,Railway,m,221.94170545772997
2025-10-20,Removing trees,Building,m2,1003.3098375833388
2025-04-09,Cement making,Building,m3,368.04484374857225
2025-11-20,Removing trees,Building,m2,2464.49031512853
2025-02-13,Ballast,Railway,m3,1492.9676828618842
2025-10-21,Foundation pouring,Building,m3,2234.3821681852364
2025-09-05,Ballast,Railway,m3,425.48263255595464
2025-02-04,Terrain leveling,Building,m3,1837.3080113509832
2025-11-24,Terrain leveling,Building,m3,3902.835163242397
2025-07-08,Ballast,Railway,m3,2040.5237053480869
2025-03-30,Coat preparation,Road,L,2438.6463108655475
2025-06-29,Walling,Building,m2,4489.905317447411
2025-01-14,Foundation pouring,Building,m3,142.17018806767956
2025-01-30,Pavement,Road,m2,3369.0452991784014
2025-05-18,Laying steel rail,Railway,m,405.9389405419955
2025-09-22,Removing trees,Building,m2,4066.330004079684
2025-10-15,Cement making,Building,m3,3743.138628851825
2025-09-04,Cement making,Building,m3,3667.2303124393197
2025-08-19,Cement making,Building,m3,2547.7432102697244
2025-04-17,Walling,Building,m2,405.03488565911795
2025-02-07,Terrain leveling,Building,m3,4033.762806912877
2025-07-28,Foundation pouring,Building,m3,4952.7869473304245
2025-12-01,Rolling/Tractor,Road,m2,4433.557942878292
2025-04-21,Foundation pouring,Building,m3,4181.819609085496
2025-05-04,Anchorage,Railway,m2,4782.0472847479505
2025-08-21,Anchorage,Railway,m2,2166.9659582715067
2025-07-21,Subbase application,Road,m2,351.1745577578934
2025-05-06,Rolling/Tractor,Road,m2,313.57175511538605
2025-02-06,Coat preparation,Road,L,1328.955885133869
2025-04-22,Cement making,Building,m3,3404.553059937002
2025-07-14,Removing trees,Building,m2,2445.939066443989
2025-03-01,Iron mining,Railway,m3,613.9897471459899
2025-11-19,Cement making,Building,m3,2459.4752289122457
2025-05-28,Anchorage,Railway,m2,463.5757830177123
2025-10-05,Pavement,Road,m2,3217.7143444586955
2025-05-27,Removing trees,Building,m2,3775.4736881875174
2025-11-25,Foundation pouring,Building,m3,179.94944304250916
2025-10-02,Pavement,Road,m2,4724.947392526763
2025-12-08,Pavement,Road,m2,991.4813349221857
2025-12-10,Ballast,Railway,m3,2553.1322151057852
2025-03-07,Coat preparation,Road,L,2957.561573767166
2025-02-21,Walling,Building,m2,1658.406584481294
2025-11-04,Walling,Building,m2,4974.5837587968535
2025-01-29,Ballast,Railway,m3,4047.357304064307
2025-06-05,Removing trees,Building,m2,834.286856471827
2025-11-07,Subbase application,Road,m2,2255.988499504802
2025-06-10,Foundation pouring,Building,m3,1479.44343603854
2025-03-04,Pavement,Road,m2,4220.680850241409
2025-07-30,Terrain leveling,Building,m3,4152.833462644794
2025-12-20,Anchorage,Railway,m2,1417.9020410142634
2025-11-05,Laying steel rail,Railway,m,825.1450108220265
2025-06-22,Iron mining,Railway,m3,2242.6300890424263
2025-11-20,Iron mining,Railway,m3,1426.0376328032726
2025-03-27,Rolling/Tractor,Road,m2,1758.0663467942632
2025-09-30,Laying steel rail,Railway,m,334.6055500571299
2025-04-18,Subbase application,Road,m2,3933.061406563131
2025-09-15,Iron mining,Railway,m3,1143.8691155556858
2025-08-03,Rolling/Tractor,Road,m2,1457.6941623687817
2025-12-24,Coat preparation,Road,L,2716.1182175576996
2025-10-28,Coat preparation,Road,L,1469.9557735832968
2025-08-24,Iron mining,Railway,m3,2043.6525149004126
2025-05-11,Subbase application,Road,m2,1675.192712951777
2025-04-28,Pavement,Road,m2,958.8777230105889
2025-11-21,Anchorage,Railway,m2,3641.9201721442646
2025-10-20,Rolling/Tractor,Road,m2,1569.3051522244584
2025-05-10,Iron mining,Railway,m3,2619.2852560295323
2025-05-05,Ballast,Railway,m3,681.6659558958621
2025-12-11,Laying steel rail,Railway,m,2258.645002781479
2025-12-20,Foundation pouring,Building,m3,2914.3336428598204
2025-05-14,Removing trees,Building,m2,2709.6383717661247
2025-03-12,Iron mining,Railway,m3,3652.1969790647763
2025-11-19,Walling,Building,m2,884.3260574039191
2025-05-20,Terrain leveling,Building,m3,2181.032384479303
2025-12-09,Iron mining,Railway,m3,2285.414640695367
2025-09-04,Laying steel rail,Railway,m,1941.6896611547913
2025-07-12,Removing trees,Building,m2,1829.567268829571
2025-07-21,Anchorage,Railway,m2,3794.766545429878
2025-10-13,Iron mining,Railway,m3,2077.0517816094884
2025-08-05,Walling,Building,m2,895.0584397827432
2025-12-22,Subbase application,Road,m2,1326.5394127795005
2025-01-12,Iron mining,Railway,m3,4387.42294760455
2025-09-03,Cement making,Building,m3,2130.202345548308
2025-09-19,Iron mining,Railway,m3,781.6808759508775
2025-07-29,Iron mining,Railway,m3,1020.1751753078674
2025-08-07,Subbase application,Road,m2,2908.053450005679
2025-05-27,Laying steel rail,Railway,m,4063.1518647687208
2025-11-05,Rolling/Tractor,Road,m2,1645.0229054585718
2025-09-21,Anchorage,Railway,m2,1334.9416724155817
2025-05-24,Foundation pouring,Building,m3,2731.4324784557375
2025-02-06,Ballast,Railway,m3,3450.1645112660444
2025-08-07,Removing trees,Building,m2,3491.471341237287
2025-07-12,Anchorage,Railway,m2,3922.237337159908
2025-10-20,Foundation pouring,Building,m3,16.696061408146278
2025-12-13,Cement making,Building,m3,4753.089713784707
2025-04-25,Pavement,Road,m2,4549.545458480697
2025-12-02,Walling,Building,m2,1257.7189705467374
2025-09-13,Walling,Building,m2,1518.423003914023
2025-07-01,Laying steel rail,Railway,m,3572.194705819854
2025-04-29,Pavement,Road,m2,3890.226387023611
2025-11-15,Subbase application,Road,m2,1540.8720665163466
2025-07-22,Foundation pouring,Building,m3,4471.468006160715
2025-06-12,Laying steel rail,Railway,m,54.572217809188416
2025-05-20,Walling,Building,m2,1227.468922252697
2025-03-05,Cement making,Building,m3,1350.8948330293474
2025-05-19,Ballast,Railway,m3,1058.5467829594274
2025-04-29,Ballast,Railway,m3,3084.6035240812093
2025-05-15,Iron mining,Railway,m3,1215.0237147312575
2025-04-04,Laying steel rail,Railway,m,2033.476173824416
2025-03-04,Cement making,Building,m3,326.0228200446208
2025-04-09,Rolling/Tractor,Road,m2,2385.841887213559
2025-10-26,Cement making,Building,m3,2021.524984744722
2025-11-16,Cement making,Building,m3,3532.303265307712
2025-08-06,Walling,Building,m2,1238.538665837796
2025-10-10,Iron mining,Railway,m3,4887.311764613187
2025-11-04,Coat preparation,Road,L,3400.363481561936
2025-05-29,Cement making,Building,m3,1337.1426363202422
2025-01-09,Subbase application,Road,m2,1857.0802460964426
2025-05-21,Iron mining,Railway,m3,2649.6060557235414
2025-11-24,Rolling/Tractor,Road,m2,2874.188347572566
2025-01-08,Coat preparation,Road,L,3397.0990901559258
2025-10-19,Foundation pouring,Building,m3,1387.7581449235277
2025-01-18,Rolling/Tractor,Road,m2,2307.2898134402494
2025-11-03,Pavement,Road,m2,25.95136905207074
2025-06-13,Iron mining,Railway,m3,4243.160382967101
2025-10-22,Subbase application,Road,m2,4080.0352679657194
2025-04-03,Walling,Building,m2,364.0100735903701
2025-02-26,Foundation pouring,Building,m3,3229.225182308532
2025-05-23,Terrain leveling,Building,m3,3178.396819227948
2025-08-06,Terrain leveling,Building,m3,1653.3254197504227
2025-11-18,Anchorage,Railway,m2,4775.336851791897
2025-10-31,Ballast,Railway,m3,460.09998739693805
2025-05-02,Laying steel rail,Railway,m,2227.1910282310646
2025-06-05,Anchorage,Railway,m2,4099.8326830492
2025-05-04,Pavement,Road,m2,1071.747037773031
2025-09-25,Laying steel rail,Railway,m,1111.2826332785069
2025-04-07,Pavement,Road,m2,2586.6321922954094
2025-06-27,Coat preparation,Road,L,2349.196115332658
2025-07-19,Laying steel rail,Railway,m,810.29553509889
2025-04-17,Laying steel rail,Railway,m,3976.091378051562
2025-06-21,Foundation pouring,Building,m3,593.7147979887286
2025-01-27,Rolling/Tractor,Road,m2,386.9519755956763
2025-04-12,Terrain leveling,Building,m3,1398.399082424129
2025-08-17,Coat preparation,Road,L,2785.861132837133
2025-07-27,Iron mining,Railway,m3,711.2422503126409
2025-05-16,Iron mining,Railway,m3,3994.01707635019
2025-04-24,Coat preparation,Road,L,4306.793040775625
2025-11-17,Subbase application,Road,m2,4868.84473684635
2025-11-04,Rolling/Tractor,Road,m2,3743.3414112610635
2025-08-10,Iron mining,Railway,m3,3318.3459274972984
2025-02-10,Subbase application,Road,m2,3381.102812906831
2025-04-02,Terrain leveling,Building,m3,652.0131763845454
2025-01-29,Subbase application,Road,m2,3418.2540901278603
2025-10-24,Coat preparation,Road,L,2002.6080625851262
2025-01-09,Terrain leveling,Building,m3,1372.6045418493022
2025-11-26,Rolling/Tractor,Road,m2,1849.2329769412863
2025-03-04,Subbase application,Road,m2,3621.576708204863
2025-05-08,Iron mining,Railway,m3,1573.1760505806908
2025-02-09,Walling,Building,m2,938.6337948767492
2025-03-11,Ballast,Railway,m3,4270.11341510751
2025-03-20,Ballast,Railway,m3,1927.3793963258001
2025-06-16,Ballast,Railway,m3,1245.9128485175236
2025-06-21,Coat preparation,Road,L,1211.7316803500978
2025-11-05,Iron mining,Railway,m3,2243.39221660375
2025-11-08,Cement making,Building,m3,2657.642538942253
2025-09-18,Rolling/Tractor,Road,m2,223.1896564711866
2025-02-22,Walling,Building,m2,2604.002867920722
2025-02-02,Subbase application,Road,m2,677.0436764555332
2025-06-12,Coat preparation,Road,L,4502.206648907143
2025-02-01,Coat preparation,Road,L,1944.2626525691287
2025-07-03,Anchorage,Railway,m2,799.2904211423424
2025-02-28,Cement making,Building,m3,2774.367773880881
2025-10-30,Laying steel rail,Railway,m,3751.939995854602
2025-06-18,Laying steel rail,Railway,m,2607.5813870731718
2025-08-22,Coat preparation,Road,L,890.6583384695932
2025-12-14,Terrain leveling,Building,m3,1391.1354979076768
2025-05-20,Subbase application,Road,m2,4437.085084804916
2025-04-07,Removing trees,Building,m2,4608.796851766722
2025-02-25,Ballast,Railway,m3,4344.301269892856
2025-09-17,Walling,Building,m2,4953.439449299955
2025-07-19,Pavement,Road,m2,1120.7528706219305
2025-06-08,Removing trees,Building,m2,4332.183686463726
2025-06-24,Removing trees,Building,m2,4913.38827434016
2025-05-22,Iron mining,Railway,m3,4759.215087892283
2025-01-14,Foundation pouring,Building,m3,3774.294435358668
2025-07-10,Coat preparation,Road,L,2995.8841680839005
2025-03-19,Laying steel rail,Railway,m,4786.476496626757
2025-07-02,Coat preparation,Road,L,4358.472174612182
2025-08-29,Laying steel rail,Railway,m,2056.7820519335173
2025-01-24,Terrain leveling,Building,m3,3982.829521530301
2025-06-19,Walling,Building,m2,4135.015875289211
2025-06-29,Coat preparation,Road,L,3548.094230737904
2025-11-20,Terrain leveling,Building,m3,3435.094554999513
2025-06-26,Terrain leveling,Building,m3,289.3875313465255
2025-01-29,Laying steel rail,Railway,m,823.0976093372283
2025-07-08,Iron mining,Railway,m3,4326.633206838574
2025-03-21,Laying steel rail,Railway,m,914.1077078978955
2025-12-25,Walling,Building,m2,1392.7309008270338
2025-03-22,Coat preparation,Road,L,2359.982328199335
2025-07-01,Iron mining,Railway,m3,3932.8503731369856
2025-09-17,Rolling/Tractor,Road,m2,1698.246914357157
2025-06-19,Foundation pouring,Building,m3,4975.617779364526
2025-09-20,Terrain leveling,Building,m3,4212.076638765353
2025-11-30,Removing trees,Building,m2,838.8207162874861
2025-05-15,Removing trees,Building,m2,2876.170378859865
2025-08-07,Coat preparation,Road,L,553.718026349475
2025-08-08,Cement making,Building,m3,2345.9100840265073
2025-04-28,Cement making,Building,m3,3284.2405638406326
2025-04-03,Pavement,Road,m2,4209.604568986521
2025-05-30,Iron mining,Railway,m3,4125.818543358522
2025-02-13,Laying steel rail,Railway,m,3347.2956336565053
2025-11-21,Walling,Building,m2,1623.1488593573029
2025-12-05,Rolling/Tractor,Road,m2,1315.3667443185407
2025-05-23,Walling,Building,m2,511.18117483910316
2025-12-27,Pavement,Road,m2,2654.2420454633425
2025-08-21,Iron mining,Railway,m3,407.5916272492075
2025-04-11,Anchorage,Railway,m2,4956.361571096701
2025-03-13,Rolling/Tractor,Road,m2,3051.026697032985
2025-07-22,Coat preparation,Road,L,352.31744332168023
2025-10-30,Walling,Building,m2,3754.829975215826
2025-04-19,Terrain leveling,Building,m3,3802.851822953395
2025-04-19,Pavement,Road,m2,3832.5605530993366
2025-01-24,Iron mining,Railway,m3,4611.047479032541
2025-02-19,Pavement,Road,m2,3135.512024928059
2025-07-28,Anchorage,Railway,m2,3889.5570571224384
2025-08-30,Subbase application,Road,m2,1544.152095721808
2025-08-08,Anchorage,Railway,m2,188.56207505151934
2025-09-17,Foundation pouring,Building,m3,279.8008225620807
2025-07-11,Subbase application,Road,m2,3077.1437792342626
2025-07-22,Anchorage,Railway,m2,3489.226708222159
2025-11-29,Terrain leveling,Building,m3,3499.0918169450424
2025-01-23,Terrain leveling,Building,m3,4426.767822966043
2025-11-18,Cement making,Building,m3,3128.428368535044
2025-12-08,Terrain leveling,Building,m3,3174.1202761528657
2025-08-22,Pavement,Road,m2,1524.0419639817471
2025-11-04,Ballast,Railway,m3,2639.434799413712
2025-08-18,Subbase application,Road,m2,530.1222388054888
2025-09-07,Removing trees,Building,m2,241.5968489657716
2025-08-14,Rolling/Tractor,Road,m2,4352.261274196138
2025-03-29,Removing trees,Building,m2,4373.6663938138745
2025-11-17,Iron mining,Railway,m3,4930.2043036606965
2025-11-03,Ballast,Railway,m3,346.9219550161323
2025-04-18,Ballast,Railway,m3,358.74980965842684
2025-04-26,Rolling/Tractor,Road,m2,1923.6838211231234
2025-05-21,Rolling/Tractor,Road,m2,1019.0169194195458
2025-08-14,Subbase application,Road,m2,3867.328578848213
2025-08-02,Ballast,Railway,m3,3973.437620841801
2025-02-22,Subbase application,Road,m2,1770.29373503996
2025-08-29,Anchorage,Railway,m2,858.9359498940207
2025-07-09,Pavement,Road,m2,4098.412959629024
2025-02-19,Anchorage,Railway,m2,3652.793918776574
2025-11-04,Terrain leveling,Building,m3,3229.9951150738857
2025-02-26,Cement making,Building,m3,4062.97744235739
2025-02-21,Terrain leveling,Building,m3,2822.4362109328326
2025-05-06,Laying steel rail,Railway,m,2046.9163818613706
2025-09-19,Coat preparation,Road,L,143.945941649794
2025-05-20,Anchorage,Railway,m2,2836.955486269697
2025-07-22,Subbase application,Road,m2,3833.7083916306515
2025-06-20,Walling,Building,m2,1453.37288294829
2025-11-04,Laying steel rail,Railway,m,3655.3449308799513
2025-07-28,Terrain leveling,Building,m3,2732.820423305727
2025-01-30,Laying steel rail,Railway,m,3175.1742568615114
2025-07-20,Subbase application,Road,m2,466.4624261914513
2025-01-04,Foundation pouring,Building,m3,4402.100975176902
2025-12-29,Walling,Building,m2,3012.55858038777
2025-03-10,Pavement,Road,m2,3478.01514128638
2025-02-21,Laying steel rail,Railway,m,2266.6844937210585
2025-12-06,Foundation pouring,Building,m3,698.7341637688654
2025-02-06,Coat preparation,Road,L,2792.545713456852
2025-12-27,Terrain leveling,Building,m3,3902.529423062509
2025-05-30,Terrain leveling,Building,m3,1250.0959565668325
2025-11-02,Removing trees,Building,m2,497.27398565331316
2025-03-13,Terrain leveling,Building,m3,627.504010657971
2025-05-28,Anchorage,Railway,m2,1753.7450259653576
2025-08-14,Cement making,Building,m3,2670.863219646851
2025-03-03,Coat preparation,Road,L,4101.4883742592565
2025-09-29,Terrain leveling,Building,m3,901.2175545250789
2025-03-26,Cement making,Building,m3,1889.1670105404378
2025-10-11,Removing trees,Building,m2,4662.703644064249
2025-01-25,Removing trees,Building,m2,1762.0990886650022
2025-01-20,Walling,Building,m2,317.9238654316241
2025-01-29,Anchorage,Railway,m2,548.7550918110951
2025-10-21,Coat preparation,Road,L,3416.0385771724
2025-09-24,Rolling/Tractor,Road,m2,402.7079841247594
2025-07-14,Subbase application,Road,m2,1933.8017361344916
2025-08-26,Cement making,Building,m3,1218.6744295326484
2025-08-18,Terrain leveling,Building,m3,417.5684032725402
2025-02-23,Cement making,Building,m3,1816.9821574518792
2025-12-22,Removing trees,Building,m2,2532.2372421813106
2025-05-03,Walling,Building,m2,1590.5555267755383
2025-04-30,Terrain leveling,Building,m3,507.60868289836503
2025-11-28,Coat preparation,Road,L,737.2099769146606
2025-06-04,Foundation pouring,Building,m3,1729.555301582979
